source_reference,name,counterparty_type,country_code,resident,attributes.segment
CUST-D-0039,Kojo Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0040,Kojo Appiah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0041,Kwame Adjei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0042,Kofi Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0043,Kojo Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0044,Fiifi Ofori,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0045,Kofi Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0046,Nana Yeboah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0047,Efua Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0048,Esi Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0049,Abena Ofori,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0050,Akosua Appiah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0051,Ama Frimpong,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0052,Aba Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0053,Kojo Darko,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0054,Adwoa Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0055,Ama Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0056,Efua Agyeman,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0057,Akua Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0058,Yaa Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0059,Fiifi Darko,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0060,Efua Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0061,Kwesi Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0062,Kwame Frimpong,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0063,Esi Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0064,Kwabena Adjei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0065,Yaw Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0066,Nana Darko,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0067,Efua Agyeman,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0068,Yaw Darko,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0069,Yaa Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0070,Fiifi Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0071,Kofi Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0072,Kwame Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0073,Yaa Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0074,Akua Darko,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0075,Kwesi Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0076,Kwame Darko,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0077,Esi Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0078,Efua Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0079,Yaa Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0080,Abena Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0081,Adwoa Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0082,Ama Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0083,Fiifi Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0084,Kofi Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0085,Ama Appiah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0086,Esi Agyeman,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0087,Kwesi Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0088,Kojo Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0089,Akua Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0090,Aba Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0091,Aba Appiah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0092,Kofi Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0093,Akosua Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0094,Yaw Darko,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0095,Nana Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0096,Kwabena Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0097,Yaw Frimpong,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0098,Yaa Yeboah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0099,Yaw Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0100,Abena Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0101,Yaa Frimpong,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0102,Akua Frimpong,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0103,Nana Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0104,Esi Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0105,Akua Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0106,Aba Darko,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0107,Esi Appiah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0108,Aba Yeboah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0109,Adwoa Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0110,Akosua Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0111,Kwame Yeboah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0112,Akosua Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0113,Yaw Appiah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0114,Afia Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0115,Ama Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0116,Ama Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0117,Yaw Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0118,Akosua Darko,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0119,Akua Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0120,Kofi Agyeman,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0121,Fiifi Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0122,Adwoa Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0123,Esi Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0124,Aba Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0125,Fiifi Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0126,Yaa Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0127,Kwesi Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0128,Kofi Ofori,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0129,Aba Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0130,Afia Ofori,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0131,Yaa Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0132,Yaw Ofori,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0133,Akua Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0134,Kojo Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0135,Kwesi Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0136,Afia Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0137,Kojo Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0138,Akosua Darko,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0139,Kwame Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0140,Kwesi Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0141,Adwoa Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0142,Kwesi Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0143,Fiifi Agyeman,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0144,Kojo Appiah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0145,Kwabena Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0146,Akua Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0147,Fiifi Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0148,Kojo Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0149,Akua Darko,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0150,Kwame Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0151,Kwame Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0152,Kwesi Agyeman,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0153,Kwabena Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0154,Efua Agyeman,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0155,Kwabena Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0156,Akosua Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0157,Esi Ofori,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0158,Yaw Yeboah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0159,Akua Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0160,Ama Yeboah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0161,Ama Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0162,Abena Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0163,Kofi Frimpong,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0164,Yaa Ofori,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0165,Esi Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0166,Akosua Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0167,Nana Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0168,Efua Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0169,Ama Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0170,Akosua Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0171,Abena Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0172,Kwabena Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0173,Kwesi Ofori,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0174,Kojo Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0175,Kwesi Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0176,Fiifi Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0177,Kwame Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0178,Akosua Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0179,Yaw Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0180,Fiifi Yeboah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0181,Kwesi Adjei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0182,Ama Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0183,Esi Agyeman,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0184,Afia Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0185,Fiifi Frimpong,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0186,Kwame Adjei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0187,Akua Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0188,Akosua Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0189,Akosua Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0190,Fiifi Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0191,Nana Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0192,Akua Frimpong,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0193,Kwesi Frimpong,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0194,Nana Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0195,Ama Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0196,Efua Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0197,Akua Appiah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0198,Kwesi Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0199,Akua Ofori,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0200,Afia Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0201,Akua Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0202,Akosua Frimpong,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0203,Kwame Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0204,Kwesi Yeboah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0205,Kwame Adjei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0206,Adwoa Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0207,Yaa Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0208,Kwame Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0209,Akua Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0210,Nana Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0211,Kojo Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0212,Nana Appiah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0213,Kwesi Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0214,Kwabena Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0215,Yaa Yeboah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0216,Nana Agyeman,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0217,Kwabena Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0218,Abena Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0219,Fiifi Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0220,Adwoa Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0221,Kojo Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0222,Akosua Appiah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0223,Nana Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0224,Akosua Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0225,Kwesi Adjei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0226,Nana Darko,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0227,Kwame Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0228,Kofi Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0229,Kojo Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0230,Abena Darko,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0231,Aba Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0232,Ama Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0233,Efua Appiah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0234,Esi Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0235,Akua Frimpong,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0236,Nana Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0237,Afia Yeboah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0238,Kwabena Yeboah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0239,Afia Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0240,Ama Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0241,Kwesi Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0242,Akua Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0243,Nana Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0244,Nana Agyeman,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0245,Esi Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0246,Yaa Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0247,Nana Frimpong,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0248,Kwame Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0249,Afia Ofori,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0250,Kojo Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0251,Kwabena Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0252,Ama Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0253,Yaa Ofori,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0254,Yaw Darko,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0255,Abena Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0256,Kwabena Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0257,Abena Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0258,Yaa Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0259,Abena Adjei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0260,Nana Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0261,Kofi Ofori,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0262,Efua Ofori,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0263,Yaw Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0264,Akua Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0265,Esi Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0266,Kwame Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0267,Nana Appiah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0268,Afia Frimpong,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0269,Akua Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0270,Nana Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0271,Akua Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0272,Afia Agyeman,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0273,Adwoa Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0274,Kwabena Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0275,Yaa Frimpong,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0276,Adwoa Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0277,Fiifi Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0278,Ama Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0279,Kwame Yeboah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0280,Abena Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0281,Kwame Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0282,Nana Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0283,Akosua Adjei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0284,Kwesi Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0285,Kofi Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0286,Yaa Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0287,Efua Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0288,Akua Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0289,Yaw Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0290,Afia Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0291,Kwesi Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0292,Adwoa Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0293,Kwame Adjei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0294,Akosua Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0295,Yaa Antwi,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0296,Kofi Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0297,Esi Ofori,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0298,Esi Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0299,Yaa Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0300,Fiifi Agyeman,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0301,Fiifi Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0302,Afia Yeboah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0303,Ama Darko,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0304,Akua Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0305,Fiifi Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0306,Kwabena Agyeman,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0307,Kwesi Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0308,Yaa Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0309,Yaw Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0310,Fiifi Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0311,Fiifi Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
