# Sample Bank onboarding dataset — teller_withdrawals, reporting week ending 2026-06-30 (seven days 2026-06-24..2026-06-30; push with as_of_date=2026-06-30). One row per over-the-counter cash withdrawal; amounts in the account currency with the bank's cedi equivalent in amount_ghs.
txn_date,txn_reference,branch_code,branch,customer_reference,customer_name,account_reference,account_type,currency,amount,amount_ghs,channel,teller_id,txn_time,notes
2026-06-24,TLR-20260624-00021,BR008,Tema Harbour,CIF-300213,Fatima Iddrisu,008021302,savings,GHS,1700.00,1700.00,teller,T8008,14:34,
2026-06-24,TLR-20260624-00022,BR008,Tema Harbour,CIF-300157,Kwame Amoah,008015702,savings,GHS,12350.00,12350.00,teller,T8008,15:38,
2026-06-24,TLR-20260624-00023,BR008,Tema Harbour,CIF-300235,Patience Acheampong,008023501,current,GHS,350000.00,350000.00,teller,T7008,16:30,
2026-06-24,TLR-20260624-00024,BR010,Kaneshie Market,CIF-200105,Adwoa Serwaa Enterprise,010010501,current,GHS,640000.00,640000.00,teller,T7010,08:18,
2026-06-24,TLR-20260624-00025,BR010,Kaneshie Market,CIF-300190,Yeboah Bakery,010019001,current,GHS,77500.00,77500.00,teller,T6010,15:16,
2026-06-24,TLR-20260624-00026,BR010,Kaneshie Market,CIF-200077,Adom Microfinance Ltd,010007701,current,GHS,980000.00,980000.00,teller,T9010,16:16,
2026-06-24,TLR-20260624-00027,BR014,Ridge — Ministries,CIF-300105,Ama Abdulai,014010501,current,GHS,4000.00,4000.00,teller,T7014,09:26,
2026-06-24,TLR-20260624-00028,BR014,Ridge — Ministries,CIF-300118,Addo Transport,014011801,current,GHS,241200.00,241200.00,teller,T1014,12:14,
2026-06-24,TLR-20260624-00029,BR014,Ridge — Ministries,CIF-300008,Owusu Bakery,014000801,current,GHS,92500.00,92500.00,teller,T5014,13:34,
2026-06-24,TLR-20260624-00030,BR014,Ridge — Ministries,CIF-300172,Mohammed & Sons,014017201,current,GHS,240000.00,240000.00,teller,T1014,14:34,
2026-06-24,TLR-20260624-00031,BR014,Ridge — Ministries,CIF-300012,Emmanuel Iddrisu,014001202,savings,GHS,4000.00,4000.00,teller,T4014,15:03,
2026-06-24,TLR-20260624-00032,BR015,Circle — Kwame Nkrumah Interchange,CIF-300210,Efua Ansah,015021001,current,GHS,8000.00,8000.00,teller,T9015,11:45,
2026-06-24,TLR-20260624-00033,BR015,Circle — Kwame Nkrumah Interchange,CIF-300239,Mohammed Printing Press,015023901,current,GHS,150000.00,150000.00,teller,T1015,12:23,
2026-06-24,TLR-20260624-00034,BR020,Kumasi Adum,CIF-300329,Ama Darko,020032901,current,GHS,12000.00,12000.00,teller,T8020,09:30,
2026-06-24,TLR-20260624-00035,BR021,Kumasi Kejetia,CIF-300312,Mensah Bonsu,021031202,savings,GHS,6100.00,6100.00,teller,T6021,08:01,
2026-06-24,TLR-20260624-00036,BR021,Kumasi Kejetia,CIF-300233,Nkrumah Printing Press,021023301,current,GHS,62500.00,62500.00,teller,T5021,09:10,
2026-06-24,TLR-20260624-00037,BR021,Kumasi Kejetia,CIF-300137,Ansah Fashions,021013701,current,USD,2000.00,25880.01,teller,T8021,13:34,
2026-06-24,TLR-20260624-00038,BR021,Kumasi Kejetia,CIF-300287,Bonsu & Sons,021028701,current,GHS,26200.00,26200.00,teller,T5021,14:40,
2026-06-24,TLR-20260624-00039,BR024,Kumasi Suame Magazine,CIF-300292,Seidu Ofori,024029201,current,GHS,3350.00,3350.00,teller,T3024,10:50,
2026-06-24,TLR-20260624-00040,BR024,Kumasi Suame Magazine,CIF-300208,Nana Opoku,024020801,current,GHS,520000.00,520000.00,teller,T1024,13:58,
2026-06-24,TLR-20260624-00041,BR024,Kumasi Suame Magazine,CIF-300029,Patience Danso,024002902,savings,GHS,6000.00,6000.00,teller,T3024,14:05,
2026-06-24,TLR-20260624-00042,BR024,Kumasi Suame Magazine,CIF-200114,Nyame Adom Cocoa Purchasing Co. Ltd,024011401,current,GHS,3850000.00,3850000.00,teller,T6024,15:59,
2026-06-24,TLR-20260624-00043,BR026,Obuasi,CIF-300272,Kweku Opoku,026027202,savings,GHS,1500.00,1500.00,teller,T1026,08:35,
2026-06-24,TLR-20260624-00044,BR026,Obuasi,CIF-300078,Alhassan Acheampong,026007801,current,GHS,2500.00,2500.00,teller,T8026,12:43,
2026-06-24,TLR-20260624-00045,BR030,Takoradi Market Circle,CIF-300044,Abena Bonsu,030004401,current,GHS,350000.00,350000.00,teller,T2030,09:12,
2026-06-24,TLR-20260624-00046,BR031,Takoradi Harbour,CIF-300319,Vida Owusu,031031901,current,GHS,15000.00,15000.00,teller,T6031,12:17,
2026-06-24,TLR-20260624-00047,BR036,Cape Coast Kotokuraba,CIF-300203,Mohammed Pharmacy,036020301,current,GHS,20000.00,20000.00,teller,T3036,09:39,
2026-06-24,TLR-20260624-00048,BR036,Cape Coast Kotokuraba,CIF-300303,Gifty Sarpong,036030302,call,GHS,350000.00,350000.00,teller,T5036,13:24,
2026-06-24,TLR-20260624-00049,BR040,Koforidua,CIF-300168,Mariama Agyeman,040016802,savings,GHS,4000.00,4000.00,teller,T1040,08:06,
2026-06-24,TLR-20260624-00050,BR040,Koforidua,CIF-300004,Opoku Bakery,040000401,current,GBP,8000.00,134016.92,teller,T6040,08:23,
2026-06-24,TLR-20260624-00051,BR040,Koforidua,CIF-300143,Isaac Ansah,040014302,savings,GHS,12200.00,12200.00,teller,T7040,08:26,
2026-06-24,TLR-20260624-00052,BR040,Koforidua,CIF-300218,Mariama Antwi,040021801,current,GHS,2000.00,2000.00,teller,T1040,10:18,
2026-06-24,TLR-20260624-00053,BR040,Koforidua,CIF-300176,Daniel Osei,040017602,savings,GHS,2000.00,2000.00,teller,T1040,15:35,
2026-06-24,TLR-20260624-00054,BR040,Koforidua,CIF-300045,Vida Antwi,040004501,current,GHS,2500.00,2500.00,teller,T6040,15:54,
2026-06-24,TLR-20260624-00055,BR045,Ho,CIF-300307,Owusu Printing Press,045030701,current,GHS,60000.00,60000.00,teller,T1045,14:46,
2026-06-24,TLR-20260624-00056,BR045,Ho,CIF-300164,Kweku Appiah,045016401,current,USD,1500.00,19410.01,teller,T6045,16:53,
2026-06-24,TLR-20260624-00057,BR050,Tamale Central,CIF-300011,Samuel Nkrumah,050001102,savings,GHS,5000.00,5000.00,teller,T9050,15:04,
2026-06-24,TLR-20260624-00058,BR050,Tamale Central,CIF-200341,Northern Shea Butter Exporters,050034101,current,GHS,1720000.00,1720000.00,teller,T4050,15:46,
2026-06-24,TLR-20260624-00059,BR055,Sunyani,CIF-300201,Akosua Danso,055020102,savings,GHS,20000.00,20000.00,teller,T1055,10:19,
2026-06-24,TLR-20260624-00060,BR055,Sunyani,CIF-300046,Efua Sulemana,055004602,savings,GHS,10100.00,10100.00,teller,T5055,13:14,
2026-06-24,TLR-20260624-00061,BR055,Sunyani,CIF-300290,Owusu Hardware,055029001,current,GHS,242500.00,242500.00,teller,T1055,14:49,
2026-06-24,TLR-20260624-00062,BR056,Techiman Market,CIF-300001,Quaye & Sons,056000101,current,GHS,40000.00,40000.00,teller,T7056,09:44,
2026-06-24,TLR-20260624-00063,BR056,Techiman Market,CIF-300091,Abena Nkrumah,056009101,current,GHS,450000.00,450000.00,teller,T7056,11:18,
2026-06-24,TLR-20260624-00064,BR056,Techiman Market,CIF-300005,Kofi Agyeman,056000501,current,GHS,250000.00,250000.00,teller,T2056,12:31,
2026-06-24,TLR-20260624-00065,BR056,Techiman Market,CIF-300057,Nkrumah Transport,056005701,current,GHS,25000.00,25000.00,teller,T1056,12:47,
2026-06-24,TLR-20260624-00066,BR056,Techiman Market,CIF-300090,Emmanuel Frimpong,056009002,savings,GHS,6100.00,6100.00,teller,T8056,16:38,
2026-06-25,TLR-20260625-00067,BR001,Head Office — Independence Avenue,CIF-300209,Grace Asante,001020902,savings,GHS,3050.00,3050.00,teller,T1001,08:12,
2026-06-25,TLR-20260625-00068,BR001,Head Office — Independence Avenue,CIF-200258,Kofi Mensah-Bonsu,001025802,fixed,GHS,875000.00,875000.00,teller,T3001,12:05,
2026-06-25,TLR-20260625-00069,BR001,Head Office — Independence Avenue,CIF-300120,Alhassan Antwi,001012002,savings,GHS,2000.00,2000.00,teller,T8001,14:33,
2026-06-25,TLR-20260625-00070,BR002,Osu Oxford Street,CIF-300293,Mariama Agyeman,002029302,savings,GHS,8500.00,8500.00,teller,T9002,13:26,
2026-06-25,TLR-20260625-00071,BR003,Accra Mall,CIF-300302,Mohammed Pharmacy,003030201,current,GHS,31200.00,31200.00,teller,T6003,12:22,
2026-06-25,TLR-20260625-00072,BR003,Accra Mall,CIF-300158,Isaac Abdulai,003015802,savings,GBP,8000.00,134016.92,teller,T6003,12:24,
2026-06-25,TLR-20260625-00073,BR004,Madina Market,CIF-300267,Mensah Adjei,004026702,savings,GHS,2500.00,2500.00,teller,T2004,08:28,
2026-06-25,TLR-20260625-00074,BR004,Madina Market,CIF-300175,Antwi Enterprise,004017501,current,GHS,17500.00,17500.00,teller,T5004,09:18,
2026-06-25,TLR-20260625-00075,BR004,Madina Market,CIF-200333,Madina Zongo Butchers Association,004033301,current,GHS,1010000.00,1010000.00,teller,T3004,09:31,
2026-06-25,TLR-20260625-00076,BR004,Madina Market,CIF-300100,Kwabena Appiah,004010002,savings,GHS,3200.00,3200.00,teller,T3004,12:15,
2026-06-25,TLR-20260625-00077,BR004,Madina Market,CIF-300115,Yaw Appiah,004011501,current,GHS,12500.00,12500.00,teller,T7004,14:11,
2026-06-25,TLR-20260625-00078,BR004,Madina Market,CIF-300095,Kwabena Bonsu,004009502,savings,GHS,4200.00,4200.00,teller,T5004,14:25,
2026-06-25,TLR-20260625-00079,BR004,Madina Market,CIF-300108,Nana Yeboah,004010801,current,GHS,15000.00,15000.00,teller,T3004,15:37,
2026-06-25,TLR-20260625-00080,BR004,Madina Market,CIF-300040,Abena Owusu,004004001,current,GHS,520000.00,520000.00,teller,T3004,15:49,
2026-06-25,TLR-20260625-00081,BR006,East Legon — Lagos Avenue,CIF-300234,Asante Enterprise,006023401,current,GHS,41200.00,41200.00,teller,T3006,13:09,
2026-06-25,TLR-20260625-00082,BR006,East Legon — Lagos Avenue,CIF-300316,Joseph Yeboah,006031602,savings,GHS,4350.00,4350.00,teller,T1006,13:37,
2026-06-25,TLR-20260625-00083,BR006,East Legon — Lagos Avenue,CIF-300162,Bonsu Printing Press,006016201,current,GHS,75000.00,75000.00,teller,T3006,14:42,
2026-06-25,TLR-20260625-00084,BR007,Spintex Road,CIF-300318,Kwame Asante,007031801,current,GHS,1850.00,1850.00,teller,T7007,08:17,
2026-06-25,TLR-20260625-00085,BR007,Spintex Road,CIF-300324,Emmanuel Agyeman,007032401,current,GHS,8100.00,8100.00,teller,T8007,11:37,
2026-06-25,TLR-20260625-00086,BR007,Spintex Road,CIF-300132,Mariama Mohammed,007013202,savings,GHS,20100.00,20100.00,teller,T5007,12:14,
2026-06-25,TLR-20260625-00087,BR007,Spintex Road,CIF-300216,Nkrumah Hardware,007021601,current,GHS,242500.00,242500.00,teller,T7007,13:30,
2026-06-25,TLR-20260625-00088,BR008,Tema Harbour,CIF-200392,Harbour City Clearing Agents,008039201,current,USD,98500.00,1274590.39,teller,T5008,09:55,
2026-06-25,TLR-20260625-00089,BR008,Tema Harbour,CIF-300123,Isaac Baah,008012301,current,GHS,2000.00,2000.00,teller,T3008,12:33,
2026-06-25,TLR-20260625-00090,BR008,Tema Harbour,CIF-300276,Patience Opoku,008027601,current,GHS,250000.00,250000.00,teller,T4008,15:37,
2026-06-25,TLR-20260625-00091,BR010,Kaneshie Market,CIF-200077,Adom Microfinance Ltd,010007701,current,GHS,720000.00,720000.00,teller,T4010,16:13,
2026-06-25,TLR-20260625-00092,BR010,Kaneshie Market,CIF-300075,Adwoa Boateng,010007501,current,GHS,2500.00,2500.00,teller,T9010,16:14,
2026-06-25,TLR-20260625-00093,BR013,Kasoa,CIF-300014,Joseph Iddrisu,013001402,savings,GHS,12200.00,12200.00,teller,T4013,10:23,
2026-06-25,TLR-20260625-00094,BR013,Kasoa,CIF-300256,Patience Bonsu,013025602,savings,GHS,2350.00,2350.00,teller,T7013,16:54,
2026-06-25,TLR-20260625-00095,BR014,Ridge — Ministries,CIF-300127,Adwoa Acheampong,014012702,savings,GHS,8050.00,8050.00,teller,T9014,16:28,
2026-06-25,TLR-20260625-00096,BR015,Circle — Kwame Nkrumah Interchange,CIF-300156,Adwoa Frimpong,015015601,current,GHS,3000.00,3000.00,teller,T2015,09:46,
2026-06-25,TLR-20260625-00097,BR015,Circle — Kwame Nkrumah Interchange,CIF-300146,Kwame Nkrumah,015014602,savings,GHS,5100.00,5100.00,teller,T8015,15:17,
2026-06-25,TLR-20260625-00098,BR020,Kumasi Adum,CIF-300117,Yaw Abdulai,020011701,current,GHS,15500.00,15500.00,teller,T6020,11:09,
2026-06-25,TLR-20260625-00099,BR021,Kumasi Kejetia,CIF-300136,Yaa Appiah,021013601,current,GHS,6000.00,6000.00,teller,T2021,11:18,
2026-06-25,TLR-20260625-00100,BR021,Kumasi Kejetia,CIF-300119,Danso Enterprise,021011901,current,GHS,42500.00,42500.00,teller,T2021,12:25,
2026-06-25,TLR-20260625-00101,BR021,Kumasi Kejetia,CIF-300217,Nkrumah Farms,021021701,current,GHS,30500.00,30500.00,teller,T7021,15:06,
2026-06-25,TLR-20260625-00102,BR024,Kumasi Suame Magazine,CIF-300032,Frimpong & Sons,024003201,current,GHS,40500.00,40500.00,teller,T2024,11:46,
2026-06-25,TLR-20260625-00103,BR024,Kumasi Suame Magazine,CIF-300285,Emmanuel Boateng,024028502,savings,GHS,12000.00,12000.00,teller,T7024,14:51,
2026-06-25,TLR-20260625-00104,BR024,Kumasi Suame Magazine,CIF-300096,Joseph Ofori,024009602,savings,GHS,1700.00,1700.00,teller,T1024,15:28,
2026-06-25,TLR-20260625-00105,BR024,Kumasi Suame Magazine,CIF-300200,Fatima Tetteh,024020001,current,GHS,6000.00,6000.00,teller,T4024,16:17,
2026-06-25,TLR-20260625-00106,BR026,Obuasi,CIF-300245,Esi Boateng,026024501,current,GHS,4050.00,4050.00,teller,T2026,09:47,
2026-06-25,TLR-20260625-00107,BR026,Obuasi,CIF-200087,Goldfields Contractors (Gh) Ltd,026008701,current,GHS,4200000.00,4200000.00,teller,T5026,09:48,
2026-06-25,TLR-20260625-00108,BR026,Obuasi,CIF-300073,Abena Nkrumah,026007302,savings,GHS,3000.00,3000.00,teller,T5026,10:11,
2026-06-25,TLR-20260625-00109,BR026,Obuasi,CIF-300088,Kwabena Adjei,026008802,savings,GHS,20350.00,20350.00,teller,T4026,12:30,
2026-06-25,TLR-20260625-00110,BR026,Obuasi,CIF-300271,Ansah Motors,026027101,current,GHS,60000.00,60000.00,teller,T2026,13:03,
2026-06-25,TLR-20260625-00111,BR026,Obuasi,CIF-300241,Samuel Mohammed,026024101,current,GHS,1550.00,1550.00,teller,T5026,15:23,
2026-06-25,TLR-20260625-00112,BR026,Obuasi,CIF-300296,Emmanuel Ofori,026029602,savings,GHS,12100.00,12100.00,teller,T4026,16:04,
2026-06-25,TLR-20260625-00113,BR030,Takoradi Market Circle,CIF-300055,Osei Pharmacy,030005501,current,GHS,75000.00,75000.00,teller,T7030,09:40,
2026-06-25,TLR-20260625-00114,BR030,Takoradi Market Circle,CIF-300037,Yaa Appiah,030003701,current,GHS,2600.00,2600.00,teller,T5030,11:30,
2026-06-25,TLR-20260625-00115,BR030,Takoradi Market Circle,CIF-300043,Baah Pharmacy,030004301,current,GHS,90000.00,90000.00,teller,T8030,11:58,
2026-06-25,TLR-20260625-00116,BR030,Takoradi Market Circle,CIF-300113,Seidu Iddrisu,030011302,savings,GHS,15200.00,15200.00,teller,T1030,12:51,
2026-06-25,TLR-20260625-00117,BR030,Takoradi Market Circle,CIF-300194,Fatima Amoah,030019402,savings,GHS,2500.00,2500.00,teller,T5030,13:08,
2026-06-25,TLR-20260625-00118,BR030,Takoradi Market Circle,CIF-300311,Nana Mensah,030031101,current,GHS,1600.00,1600.00,teller,T1030,15:48,
2026-06-25,TLR-20260625-00119,BR031,Takoradi Harbour,CIF-200266,Coastal Fisheries Cooperative,031026601,current,GHS,1980000.00,1980000.00,teller,T6031,12:16,
2026-06-25,TLR-20260625-00120,BR036,Cape Coast Kotokuraba,CIF-300122,Samuel Tetteh,036012201,current,GHS,3000.00,3000.00,teller,T4036,12:31,
2026-06-25,TLR-20260625-00121,BR036,Cape Coast Kotokuraba,CIF-300179,Abena Agyeman,036017901,current,GHS,20350.00,20350.00,teller,T2036,13:59,
2026-06-25,TLR-20260625-00122,BR040,Koforidua,CIF-300167,Mariama Darko,040016702,savings,GHS,1550.00,1550.00,teller,T9040,09:21,
2026-06-25,TLR-20260625-00123,BR040,Koforidua,CIF-200310,Koforidua Bead Makers Cooperative,040031001,current,GHS,690000.00,690000.00,teller,T1040,10:45,
2026-06-25,TLR-20260625-00124,BR040,Koforidua,CIF-300221,Vida Nkrumah,040022102,savings,GHS,5050.00,5050.00,teller,T8040,14:07,
2026-06-25,TLR-20260625-00125,BR045,Ho,CIF-200402,Volta Aluminium Workers Fund,045040202,savings,GHS,2400000.00,2400000.00,teller,T5045,16:55,
2026-06-25,TLR-20260625-00126,BR050,Tamale Central,CIF-300003,Yaa Frimpong,050000302,savings,GHS,8000.00,8000.00,teller,T4050,09:57,
2026-06-25,TLR-20260625-00127,BR055,Sunyani,CIF-300166,Danso Pharmacy,055016601,current,USD,2000.00,25880.01,teller,T3055,09:48,
2026-06-25,TLR-20260625-00128,BR055,Sunyani,CIF-300050,Yaw Frimpong,055005002,savings,GHS,6000.00,6000.00,teller,T2055,09:50,
2026-06-25,TLR-20260625-00129,BR055,Sunyani,CIF-300109,Efua Tetteh,055010901,current,GHS,6050.00,6050.00,teller,T9055,14:44,
2026-06-25,TLR-20260625-00130,BR055,Sunyani,CIF-300237,Vida Mohammed,055023701,current,GHS,1500.00,1500.00,teller,T8055,15:02,
2026-06-25,TLR-20260625-00131,BR055,Sunyani,CIF-300223,Danso Enterprise,055022301,current,GHS,31200.00,31200.00,teller,T3055,16:04,
2026-06-25,TLR-20260625-00132,BR055,Sunyani,CIF-300049,Kojo Bonsu,055004902,savings,GHS,2200.00,2200.00,teller,T4055,16:05,
2026-06-25,TLR-20260625-00133,BR055,Sunyani,CIF-300182,Adjei Transport,055018201,current,GHS,181200.00,181200.00,teller,T1055,16:17,
2026-06-25,TLR-20260625-00134,BR055,Sunyani,CIF-300041,Emmanuel Frimpong,055004102,savings,GHS,8000.00,8000.00,teller,T2055,16:43,
2026-06-25,TLR-20260625-00135,BR056,Techiman Market,CIF-300154,Grace Adjei,056015402,call,GHS,300000.00,300000.00,teller,T7056,08:16,
2026-06-25,TLR-20260625-00136,BR056,Techiman Market,CIF-300226,Ibrahim Tetteh,056022602,savings,GHS,3000.00,3000.00,teller,T1056,10:54,
2026-06-25,TLR-20260625-00137,BR056,Techiman Market,CIF-300180,Iddrisu Electricals,056018001,current,GHS,50000.00,50000.00,teller,T9056,11:50,
2026-06-25,TLR-20260625-00138,BR056,Techiman Market,CIF-300327,Abena Nkrumah,056032702,savings,GHS,20000.00,20000.00,teller,T2056,13:59,
2026-06-25,TLR-20260625-00139,BR056,Techiman Market,CIF-300262,Grace Abdulai,056026202,savings,GHS,2000.00,2000.00,teller,T4056,15:48,
2026-06-26,TLR-20260626-00140,BR001,Head Office — Independence Avenue,CIF-300006,Mariama Boateng,001000601,current,GHS,4000.00,4000.00,teller,T3001,12:08,
2026-06-26,TLR-20260626-00141,BR001,Head Office — Independence Avenue,CIF-300147,Appiah Electricals,001014701,current,GHS,40000.00,40000.00,teller,T4001,14:32,
2026-06-26,TLR-20260626-00142,BR002,Osu Oxford Street,CIF-300110,Ofori Printing Press,002011001,current,GHS,150000.00,150000.00,teller,T6002,08:59,
2026-06-26,TLR-20260626-00143,BR002,Osu Oxford Street,CIF-300138,Mohammed Printing Press,002013801,current,GHS,40000.00,40000.00,teller,T8002,13:55,
2026-06-26,TLR-20260626-00144,BR003,Accra Mall,CIF-300254,Isaac Baah,003025401,current,GHS,3350.00,3350.00,teller,T9003,12:41,
2026-06-26,TLR-20260626-00145,BR003,Accra Mall,CIF-300315,Ama Abdulai,003031501,current,GHS,350000.00,350000.00,teller,T8003,15:37,
2026-06-26,TLR-20260626-00146,BR004,Madina Market,CIF-300013,Daniel Danso,004001301,current,GHS,2100.00,2100.00,teller,T1004,10:49,
2026-06-26,TLR-20260626-00147,BR004,Madina Market,CIF-300308,Baah Printing Press,004030801,current,GHS,21200.00,21200.00,teller,T6004,11:45,
2026-06-26,TLR-20260626-00148,BR004,Madina Market,CIF-300264,Mensah Boateng,004026402,savings,GHS,5050.00,5050.00,teller,T1004,13:01,
2026-06-26,TLR-20260626-00149,BR004,Madina Market,CIF-300283,Kojo Appiah,004028301,current,GHS,20350.00,20350.00,teller,T8004,15:05,
2026-06-26,TLR-20260626-00150,BR006,East Legon — Lagos Avenue,CIF-300074,Kwabena Tetteh,006007402,savings,GHS,12200.00,12200.00,teller,T8006,11:32,
2026-06-26,TLR-20260626-00151,BR006,East Legon — Lagos Avenue,CIF-300288,Emmanuel Opoku,006028802,savings,GHS,4000.00,4000.00,teller,T6006,12:08,
2026-06-26,TLR-20260626-00152,BR006,East Legon — Lagos Avenue,CIF-300244,Amoah Printing Press,006024401,current,GHS,92500.00,92500.00,teller,T9006,12:10,
2026-06-26,TLR-20260626-00153,BR007,Spintex Road,CIF-300104,Asante Trading,007010401,current,GHS,152500.00,152500.00,teller,T4007,09:08,
2026-06-26,TLR-20260626-00154,BR007,Spintex Road,CIF-300184,Asante Pharmacy,007018401,current,GHS,181200.00,181200.00,teller,T1007,10:01,
2026-06-26,TLR-20260626-00155,BR007,Spintex Road,CIF-300199,Fatima Ansah,007019902,savings,GHS,15000.00,15000.00,teller,T9007,14:12,
2026-06-26,TLR-20260626-00156,BR007,Spintex Road,CIF-300279,Yeboah Pharmacy,007027901,current,GHS,50500.00,50500.00,teller,T5007,15:30,
2026-06-26,TLR-20260626-00157,BR008,Tema Harbour,CIF-300140,Mohammed Printing Press,008014001,current,GHS,60500.00,60500.00,teller,T1008,10:26,
2026-06-26,TLR-20260626-00158,BR008,Tema Harbour,CIF-200233,Sankofa Fuel Distributors Ltd,008023301,current,GHS,1480000.00,1480000.00,teller,T6008,11:42,
2026-06-26,TLR-20260626-00159,BR008,Tema Harbour,CIF-300188,Adjei Hardware,008018801,current,GHS,25000.00,25000.00,teller,T2008,12:56,
2026-06-26,TLR-20260626-00160,BR010,Kaneshie Market,CIF-300064,Ofori Farms,010006401,current,GHS,60500.00,60500.00,teller,T2010,08:35,
2026-06-26,TLR-20260626-00161,BR010,Kaneshie Market,CIF-200077,Adom Microfinance Ltd,010007701,current,GHS,640000.00,640000.00,teller,T5010,12:15,
2026-06-26,TLR-20260626-00162,BR010,Kaneshie Market,CIF-300150,Agyeman & Sons,010015001,current,GHS,31200.00,31200.00,teller,T8010,15:11,
2026-06-26,TLR-20260626-00163,BR010,Kaneshie Market,CIF-300238,Appiah Electricals,010023801,current,GHS,60000.00,60000.00,teller,T7010,15:19,
2026-06-26,TLR-20260626-00164,BR010,Kaneshie Market,CIF-200105,Adwoa Serwaa Enterprise,010010501,current,GHS,210000.00,210000.00,teller,T5010,16:31,
2026-06-26,TLR-20260626-00165,BR013,Kasoa,CIF-200188,Kasoa Timber Merchants Ltd,013018801,current,GHS,1440000.00,1440000.00,teller,T6013,08:32,
2026-06-26,TLR-20260626-00166,BR013,Kasoa,CIF-300298,Joseph Osei,013029802,call,GHS,450000.00,450000.00,teller,T5013,09:40,
2026-06-26,TLR-20260626-00167,BR013,Kasoa,CIF-300165,Yaa Yeboah,013016502,savings,GHS,1500.00,1500.00,teller,T8013,14:26,
2026-06-26,TLR-20260626-00168,BR013,Kasoa,CIF-300022,Abena Tetteh,013002202,savings,GHS,2100.00,2100.00,teller,T3013,15:15,
2026-06-26,TLR-20260626-00169,BR014,Ridge — Ministries,CIF-300101,Patience Boateng,014010101,current,GHS,10200.00,10200.00,teller,T7014,11:53,
